Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Price,Variant Compare At Price,Variant Cost,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Adult,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price,Compare At Price,original_product_url
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals","<p data-v-4668fb90="""">Feminine bows elevate sleek stilettos in the gorgeous style of the Jessica Simpson Olivine sandals.</p><ul><li class=""column"" data-auto=""product-summary-section"" data-v-4668fb90=""""><h4 class=""medium margin-bottom-xxs"" data-v-4668fb90=""""> Features </h4><div data-v-78d25ed9="""" data-v-4668fb90=""""><ul class=""margin-left-xs"" data-v-78d25ed9=""""><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Stiletto heel: 3.9""</span></li><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Open round toe</span></li><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Adjustable buckled ankle strap</span></li><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Bow detail</span></li><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Upper: textile, fabric (satin); lining: man-made, polyurethane, synthetic; sole: man-made rubber</span></li><li data-v-78d25ed9=""""><span data-testid=""other-type"" data-v-78d25ed9="""">Imported</span></li><!----></ul></div></li><li class=""column"" data-auto=""shipping-returns-section"" data-v-4668fb90=""""><h4 class=""medium margin-bottom-xxs"" data-v-4668fb90=""""> Shipping &amp; Returns </h4><div data-v-4668fb90=""""><div><ul class=""margin-left-xs""><li><span>Select items are excluded from international shipping <a href=""/m/campaign/free-shipping/free-shipping-everyday?LinkType=Homepage&amp;cm_re=2.2.16.1--HOMEPAGE_INCLUDE_1--CATEGORY%20-%205125%20-%20:details""> exclusions &amp; details </a></span></li><li><span>Free shipping applies to domestic leg only, additional shipping fees and duties may apply at checkout. <!----></span></li><!----><!----><!----><!----><!----><li>This item may not be shipped to Hawaii, Armed Forces Europe, Federated States of Micronesia, Puerto Rico, Armed Forces Pacific, Guam, U.S. Virgin Islands, Northern Mariana, Alaska, Marshall Islands, Armed Forces Americas, American Samoa, Palau and the Philippine Islands.</li><li data-testid=""note"">California and Minnesota customers call 1-800-289-6229 for Free Shipping information.</li><li data-testid=""note"">Returns are accepted at any Macy's store within 30 days from purchase date. Last Act items are final sale and sold ""as is."" No returns, exchanges, or price adjustments allowed.</li><li><div><!----> For complete details, see our <a href=""https://www.customerservice-macys.com/app/answers/detail/a_id/5363/theme/popup"" target=""_blank"" rel=""noopener noreferrer"" data-testid=""shipping-link""> Shipping</a> and <a href=""https://www.customerservice-macys.com/app/answers/detail/a_id/5362/theme/popup"" target=""_blank"" rel=""noopener noreferrer"" data-testid=""returns-link""> Returns</a> policies. </div></li><!----></ul><!----><!----></div></div></li></ul>",Macy's,Footwear,"Women's Fashion, Shoes & Accessories, Sandals",TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
shop-product-jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals,,,Macy's,Footwear,,TRUE,Color,Red Muse Satin,,,,,19766033,,131.75,87.83,87.83,TRUE,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,1,"Jessica Simpson, Women's Olivine Bow High-Heel Stiletto Dress Sandals - Red Muse Satin",FALSE,,,,,,,FALSE,New,FALSE,,,,,,https://assets.macysassets.com/app/navigation-wgl/static/images/flags/LT.png,oz,,87.83,131.75,87.83,https://www.macys.com/shop/product/jessica-simpson-olivine-bow-high-heel-stiletto-dress-sandals?ID=19766033&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zrvi_hpdash_zone~xcm_choiceId~z~xcm_pos~zPos2~xcm_srcCatID~z17570
